學校代碼,學校名稱,日間∕進修別,教師學歷,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男,一般教師(含客座及講座)-副教授-女,一般教師(含客座及講座)-助理教授-男,一般教師(含客座及講座)-助理教授-女,一般教師(含客座及講座)-講師-男,一般教師(含客座及講座)-講師-女,專業技術人員及教師-教授-男,專業技術人員及教師-教授-女,專業技術人員及教師-副教授-男,專業技術人員及教師-副教授-女,專業技術人員及教師-助理教授-男,專業技術人員及教師-助理教授-女,專業技術人員及教師-講師-男,專業技術人員及教師-講師-女,專案教學人員-教授-男,專案教學人員-教授-女,專案教學人員-副教授-男,專案教學人員-副教授-女,專案教學人員-助理教授-男,專案教學人員-助理教授-女,專案教學人員-講師-男,專案教學人員-講師-女,其他教師-教官-男,其他教師-教官-女,其他教師-護理教師-男,其他教師-護理教師-女,其他教師-護理臨床指導教師-男,其他教師-護理臨床指導教師-女,其他教師-運動教練-男,其他教師-運動教練-女,其他教師-助教-男,其他教師-助教-女,縣市名稱,體系別
0001,國立政治大學,日,博士,191,108,129,91,67,43,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,日,碩士,4,1,4,2,0,0,2,4,1,0,0,1,1,1,4,2,1,0,0,0,0,0,5,11,0,2,0,0,0,0,0,0,0,4,30 臺北市,1 一般
0001,國立政治大學,日,學士,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,16,30 臺北市,1 一般
0001,國立政治大學,修,博士,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0002,國立清華大學,日,博士,341,80,136,104,59,47,0,0,0,0,0,0,0,0,0,0,12,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,日,碩士,5,2,5,1,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,日,學士,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,修,博士,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0003,國立臺灣大學,日,博士,851,254,294,156,195,133,4,3,1,0,0,0,1,0,0,0,1,0,2,0,18,7,0,0,0,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0003,國立臺灣大學,日,碩士,7,5,8,5,4,8,6,8,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,2,6,30 臺北市,1 一般
