學校代碼,學校名稱,日間∕進修別,教師學歷,教授男,教授女,副教授男,副教授女,助理教授男,助理教授女,講師男,講師女,其他男,其他女,助教男,助教女,縣市名稱
1192,臺灣觀光學院,日,其他,0,0,1,0,1,0,1,0,0,0,0,0,15 花蓮縣
1195,馬偕醫學院,日,博士,8,3,15,6,27,23,0,0,0,0,0,0,01 新北市
1195,馬偕醫學院,日,碩士,1,0,2,0,3,0,1,0,0,0,0,0,01 新北市
1195,馬偕醫學院,日,學士,0,0,1,0,5,0,0,2,0,0,0,0,01 新北市
1196,法鼓文理學院,日,博士,2,0,4,3,6,3,0,0,2,0,0,0,01 新北市
1196,法鼓文理學院,日,碩士,0,0,0,0,0,0,0,0,1,0,0,0,01 新北市
1196,法鼓文理學院,日,學士,0,0,0,0,0,0,0,0,1,1,0,0,01 新北市
1197,台北海洋技術學院,日,博士,1,0,17,14,36,30,0,0,1,0,0,0,01 新北市
1197,台北海洋技術學院,日,碩士,0,0,2,3,1,1,20,18,14,8,0,0,01 新北市
1197,台北海洋技術學院,日,學士,0,0,1,0,0,0,0,3,3,1,0,0,01 新北市
1197,台北海洋技術學院,日,專科,0,0,0,0,0,0,0,0,4,0,0,0,01 新北市
1197,台北海洋技術學院,日,其他,0,0,0,0,0,0,0,0,1,0,0,0,01 新北市
1282,馬偕醫護管理專科學校,日,博士,2,0,4,3,16,14,1,0,1,0,0,0,30 臺北市
1282,馬偕醫護管理專科學校,日,碩士,0,0,0,0,2,1,2,43,2,12,0,0,30 臺北市
1282,馬偕醫護管理專科學校,日,學士,2,0,0,0,0,0,2,0,4,18,0,0,30 臺北市
1282,馬偕醫護管理專科學校,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,30 臺北市
1282,馬偕醫護管理專科學校,日,其他,0,0,0,0,0,0,0,0,1,0,0,0,30 臺北市
1283,仁德醫護管理專科學校,日,博士,3,0,2,1,18,16,7,5,0,0,0,0,05 苗栗縣
1283,仁德醫護管理專科學校,日,碩士,0,0,0,0,1,3,38,54,3,3,0,0,05 苗栗縣
1283,仁德醫護管理專科學校,日,學士,0,0,0,0,0,0,0,2,3,1,0,0,05 苗栗縣
1283,仁德醫護管理專科學校,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,05 苗栗縣
1283,仁德醫護管理專科學校,修,碩士,0,0,0,0,1,1,2,4,0,0,0,0,05 苗栗縣
1284,樹人醫護管理專科學校,日,博士,2,0,2,1,17,24,0,0,0,0,0,0,12 高雄市
1284,樹人醫護管理專科學校,日,碩士,0,0,0,0,2,1,28,85,4,8,0,0,12 高雄市
1284,樹人醫護管理專科學校,日,學士,0,0,0,0,0,0,0,2,3,29,0,0,12 高雄市
1284,樹人醫護管理專科學校,日,專科,0,0,0,0,0,0,1,0,0,0,0,0,12 高雄市
1285,慈惠醫護管理專科學校,日,博士,0,0,3,0,13,13,2,4,0,0,0,0,13 屏東縣
1285,慈惠醫護管理專科學校,日,碩士,0,0,0,0,0,0,20,64,10,6,0,0,13 屏東縣
1285,慈惠醫護管理專科學校,日,學士,0,0,0,0,0,0,0,0,2,32,0,0,13 屏東縣
1285,慈惠醫護管理專科學校,日,專科,0,0,0,0,0,0,0,0,2,0,0,0,13 屏東縣
1286,耕莘健康管理專科學校,日,博士,0,0,5,4,10,19,0,1,0,1,0,0,01 新北市
1286,耕莘健康管理專科學校,日,碩士,0,0,0,0,0,0,9,75,2,23,0,0,01 新北市
1286,耕莘健康管理專科學校,日,學士,0,0,0,0,0,0,0,0,5,5,0,0,01 新北市
1286,耕莘健康管理專科學校,日,專科,0,0,0,0,0,0,0,0,3,0,0,0,01 新北市
1287,敏惠醫護管理專科學校,日,博士,1,0,2,0,6,6,0,0,0,0,0,0,11 臺南市
1287,敏惠醫護管理專科學校,日,碩士,0,0,0,0,2,0,11,65,0,1,0,0,11 臺南市
1287,敏惠醫護管理專科學校,日,學士,0,0,1,0,1,0,0,0,2,23,0,0,11 臺南市
1288,高美醫護管理專科學校,日,博士,1,0,0,0,3,0,0,0,0,0,0,0,12 高雄市
1288,高美醫護管理專科學校,日,碩士,0,0,0,0,0,1,5,15,1,1,0,0,12 高雄市
1288,高美醫護管理專科學校,日,學士,0,0,0,0,1,0,0,0,1,9,0,0,12 高雄市
1288,高美醫護管理專科學校,修,碩士,0,0,0,0,0,0,3,0,0,0,0,0,12 高雄市
1289,育英醫護管理專科學校,日,博士,0,0,1,1,2,5,1,0,0,0,0,0,50 高雄市
1289,育英醫護管理專科學校,日,碩士,0,0,0,0,1,0,5,30,1,5,0,0,50 高雄市
1289,育英醫護管理專科學校,日,學士,0,0,0,0,0,0,0,0,1,24,0,0,50 高雄市
1290,崇仁醫護管理專科學校,日,博士,0,1,2,2,5,9,0,0,0,0,0,0,20 嘉義市
1290,崇仁醫護管理專科學校,日,碩士,0,0,0,0,1,0,13,52,0,3,0,0,20 嘉義市
1290,崇仁醫護管理專科學校,日,學士,0,0,0,0,0,0,0,1,1,28,0,0,20 嘉義市
1290,崇仁醫護管理專科學校,日,專科,0,0,0,0,0,0,1,0,0,0,0,0,20 嘉義市
1291,聖母醫護管理專科學校,日,博士,1,0,7,1,5,6,0,0,2,5,0,0,02 宜蘭縣
1291,聖母醫護管理專科學校,日,碩士,0,0,0,0,0,0,9,47,5,10,0,0,02 宜蘭縣
1291,聖母醫護管理專科學校,日,學士,0,0,0,0,1,0,0,0,2,11,0,0,02 宜蘭縣
1291,聖母醫護管理專科學校,日,專科,0,0,0,0,0,0,0,0,3,0,0,0,02 宜蘭縣
1291,聖母醫護管理專科學校,日,其他,0,0,0,0,0,0,0,0,1,0,0,0,02 宜蘭縣
1292,新生醫護管理專科學校,日,博士,2,0,3,3,16,28,1,5,2,0,0,0,03 桃園市
1292,新生醫護管理專科學校,日,碩士,0,0,1,0,3,1,11,69,6,13,0,0,03 桃園市
1292,新生醫護管理專科學校,日,學士,0,0,0,0,0,0,0,0,2,29,0,0,03 桃園市
1292,新生醫護管理專科學校,修,博士,0,0,1,0,0,0,0,0,0,0,0,0,03 桃園市
1292,新生醫護管理專科學校,修,碩士,0,0,0,0,1,0,1,1,0,0,0,0,03 桃園市
3002,臺北市立大學,日,博士,37,34,47,39,26,43,0,0,0,0,0,0,30 臺北市
3002,臺北市立大學,日,碩士,13,8,17,7,13,8,9,9,7,9,0,1,30 臺北市
3002,臺北市立大學,日,學士,1,0,1,1,0,0,0,0,7,0,0,0,30 臺北市
